team_abbrev,team_nickname,elo_basic,elo_playoff_full,wins,losses,conference
LAL,Lakers,1678,1710,49,14,western
LAC,Clippers,1636,1732,44,20,western
MIL,Bucks,1716,1694,53,12,eastern
PHI,76ers,1564,1691,39,26,eastern
HOU,Rockets,1565,1701,40,24,western
BOS,Celtics,1628,1682,43,21,eastern
TOR,Raptors,1679,1628,46,18,eastern
DEN,Nuggets,1579,1638,43,22,western
OKC,Thunder,1608,1583,40,24,western
DAL,Mavericks,1584,1643,40,27,western
NOP,Pelicans,1542,1611,28,36,western
UTA,Jazz,1574,1584,41,23,western
MIA,Heat,1553,1534,41,24,eastern
IND,Pacers,1560,1586,39,26,eastern
POR,Trailblazers,1490,1569,29,37,western
ORL,Magic,1503,1546,30,35,eastern
BKN,Nets,1478,1560,30,34,eastern
MEM,Grizzlies,1553,1456,32,33,western
SAC,Kings,1509,1512,28,36,western
SAS,Spurs,1499,1473,27,36,western
WAS,Wizards,1396,1432,24,40,eastern
PHX,Suns,1454,1520,26,39,western
