team_a,team_b
UTA,NOP
LAC,LAL
ORL,BKN
ORL,BKN
MEM,POR
PHX,WAS
BOS,MIL
SAC,SAS
HOU,DAL
MIA,DEN
UTA,OKC
NOP,LAC
PHI,IND
LAL,TOR
WAS,BKN
POR,BOS
SAS,MEM
SAC,ORL
MIL,HOU
DAL,PHX
TOR,MIA
DEN,OKC
IND,WAS
MEM,NOP
SAS,PHI
LAL,UTA
BKN,MIL
DAL,SAC
PHX,LAC
ORL,IND
BOS,MIA
HOU,POR
MEM,UTA
PHI,WAS
DEN,SAS
OKC,LAL
TOR,ORL
BKN,BOS
NOP,SAC
MIA,MIL
IND,PHX
LAC,DAL
POR,DEN
LAL,HOU
UTA,SAS
OKC,MEM
SAC,BKN
ORL,PHI
WAS,NOP
BOS,TOR
LAC,POR
UTA,DEN
LAL,IND
PHX,MIA
MIL,DAL
WAS,OKC
MEM,TOR
SAS,NOP
ORL,BOS
PHI,POR
HOU,SAC
BKN,LAC
OKC,PHX
DAL,UTA
TOR,MIL
IND,MIA
DEN,LAL
BKN,ORL
HOU,SAS
PHX,PHI
POR,DAL
BOS,MEM
NOP,SAC
MIL,WAS
IND,HOU
TOR,PHI
MIA,OKC
LAC,DEN
WAS,BOS
POR,BKN
SAC,LAL
MIL,MEM
NOP,ORL
DAL,PHX
SAS,UTA
PHI,HOU
MIA,IND
OKC,LAC
DEN,TOR
